issue_number,issue_title,issue_url,issue_created_date,issue_state,issue_user,issue_labels
126410,Name of feature gate `DisableKubeletCSRAdmissionValidation` doesn't match other fixups,https://github.com/kubernetes/kubernetes/issues/126410,2024-07-27T17:16:54Z,open,sftim,"sig/auth, sig/architecture, needs-triage"
126409,chore(deployment): use WaitForCacheSync after sharedInformerFactory Start in unit test,https://github.com/kubernetes/kubernetes/pull/126409,2024-07-27T16:46:08Z,open,omerap12,"kind/cleanup, size/XS, release-note-none, sig/apps, cncf-cla: yes, needs-ok-to-test, needs-priority, needs-triage"
126407,Fix unit flake in leaderelection/TestReconcileElectionStep,https://github.com/kubernetes/kubernetes/pull/126407,2024-07-27T15:24:49Z,open,Jefftree,"kind/bug, sig/network, area/kube-proxy, sig/storage, sig/api-machinery, size/L, release-note-none, sig/apps, cncf-cla: yes, area/code-generation, needs-priority, needs-triage"
126406,In-tree storage plugin removal still alpha (?>),https://github.com/kubernetes/kubernetes/issues/126406,2024-07-27T15:04:59Z,open,sftim,"sig/storage, needs-triage"
126405,Call non-blocking informerFactory.Start synchronously to avoid races,https://github.com/kubernetes/kubernetes/pull/126405,2024-07-27T14:15:39Z,open,sttts,"kind/bug, priority/important-soon, sig/network, area/kube-proxy, sig/storage, sig/api-machinery, size/M, kind/flake, release-note-none, sig/apps, approved, cncf-cla: yes, kind/failing-test, area/code-generation, triage/accepted"
126404,[Flaking Test] ci-kubernetes-unit (TestReconcileElectionStep),https://github.com/kubernetes/kubernetes/issues/126404,2024-07-27T10:57:46Z,open,Vyom-Yadav,"sig/api-machinery, kind/flake, needs-triage"
126403,e2e: add retry mechansim to pick nodeport,https://github.com/kubernetes/kubernetes/pull/126403,2024-07-27T10:34:57Z,open,aojea,"area/test, sig/network, size/S, kind/flake, release-note-none, approved, cncf-cla: yes, sig/testing, needs-priority, needs-triage"
126402,chore(horizontal): use WaitForCacheSync after sharedInformerFactory Start in unit test,https://github.com/kubernetes/kubernetes/pull/126402,2024-07-27T07:05:05Z,open,omerap12,"kind/cleanup, lgtm, sig/autoscaling, size/XS, release-note-none, sig/apps, cncf-cla: yes, ok-to-test, needs-priority, needs-triage"
126401,🚨  all test cases being skipped in pull-kubernetes-e2e-kind 🚨 ,https://github.com/kubernetes/kubernetes/issues/126401,2024-07-26T23:40:19Z,open,BenTheElder,"priority/critical-urgent, sig/testing, triage/accepted"
126400,[Flaking Test] gci-gce-ingress (LB should handle updates to ExternalTrafficPolicy field),https://github.com/kubernetes/kubernetes/issues/126400,2024-07-26T20:30:22Z,open,Vyom-Yadav,"sig/network, kind/flake, needs-triage"
